Team,Opponent,REG,W/L,Score,Spread W/L,Spread,O/U W/L,O/U,Home/Away
Baylor, Mississippi Valley State,REG,W,117-53,W,-45,O,143.5,1
Kentucky, South Carolina State,REG,W,106-63,W,-40.5,O,145.5,1
Connecticut, LIU,REG,W,114-61,W,-40,O,144.5,1
Kentucky, Florida A&M,REG,W,88-68,L,-37.5,O,134.5,1
Texas, Arkansas-Pine Bluff,REG,W,88-43,W,-37.5,U,139.5,1
Texas, Houston Baptist,REG,W,82-31,W,-37,U,138.5,1
Baylor, McNeese State,REG,W,89-60,L,-36.5,U,152.5,1
Purdue, Florida A&M,REG,W,82-49,L,-36.5,U,132.5,1
Tennessee, Tennessee Tech,REG,W,75-43,L,-35.5,U,142.5,1
TCU, Arkansas-Pine Bluff,REG,W,73-72,L,-35,O,143.5,1
TCU, Lamar,REG,W,77-66,L,-35,O,135.5,1
Houston, McNeese State,REG,W,83-44,W,-35,O,126.5,1
Tennessee, McNeese State,REG,W,76-40,W,-35,U,134,1
Mississippi State, Mississippi Valley State,REG,W,82-52,L,-34,O,121.5,1
Virginia Tech, Delaware State,REG,W,95-57,W,-34,O,137,1
Kansas, Nebraska-Omaha,REG,W,89-64,L,-33.5,O,148.5,1
Missouri, Mississippi Valley State,REG,W,83-62,L,-33.5,U,147,1
Villanova, Delaware State,REG,W,60-50,L,-33.5,U,139,1
Texas, UTRGV,REG,W,91-54,W,-33.5,P,145,1
Texas Tech, Houston Baptist,REG,W,111-67,W,-33.5,O,146.5,1
St. John's, LIU,REG,W,95-68,L,-33,O,154.5,1
Connecticut, Delaware State,REG,W,95-60,W,-33,O,134,1
TCU, Mississippi Valley State,REG,W,88-43,W,-33,U,132.5,1
Gonzaga, Northern Illinois,REG,W,88-67,L,-32.5,O,154,1
Illinois, Alabama A&M,REG,W,68-47,L,-32.5,U,148.5,1
Purdue, New Orleans,REG,W,74-53,L,-32.5,U,149,1
Illinois, Lindenwood,REG,W,92-59,W,-32.5,O,148.5,1
Houston, North Carolina A&T,REG,W,74-46,L,-32,U,129,1
Miami, Florida A&M,REG,W,87-61,L,-32,O,131,1
Houston, North Florida,REG,W,76-42,W,-32,U,138,1
Indiana, Bethune-Cookman,REG,W,101-49,W,-32,O,140,1
Dayton, Lindenwood,REG,W,73-46,L,-31.5,U,137,1
Duke, Maryland-Eastern Shore,REG,W,82-55,L,-31.5,O,136,1
Illinois, Eastern Illinois,REG,W,87-57,L,-31.5,O,134,1
Iowa, Eastern Illinois,REG,L,92-83,L,-31.5,O,147.5,1
Florida, Florida A&M,REG,W,102-62,W,-31.5,O,139.5,1
Houston, Texas Southern,REG,W,83-48,W,-31.5,U,132.5,1
Texas Tech, South Carolina State,REG,W,110-71,W,-31.5,O,146.5,1
Arizona, Morgan State,REG,W,93-68,L,-31,O,159.5,1
Memphis, Alabama State,REG,W,83-61,L,-31,U,146,1
Ohio State, Eastern Illinois,REG,W,65-43,L,-31,U,131.5,1
Connecticut, Stonehill College,REG,W,85-54,W,-30.5,U,142,1
Creighton, North Dakota,REG,W,96-61,W,-30.5,O,140.5,1
Gonzaga, North Florida,REG,W,104-63,W,-30.5,O,160.5,1
Oregon, Florida A&M,REG,W,80-45,W,-30.5,U,136,1
Creighton, Holy Cross,REG,W,94-65,L,-30,O,145,1
Penn State, Delaware State,REG,W,60-46,L,-30,U,138.5,1
Texas, Texas A&M-Commerce,REG,W,97-72,L,-30,O,139.5,1
Illinois, Bethune-Cookman,REG,W,85-52,W,-30,U,143.5,1
Alabama, Jackson State,REG,W,84-64,L,-29.5,U,154,1
Tulane, Mississippi Valley State,REG,W,84-63,L,-29.5,O,139.5,1
Iowa, Nebraska-Omaha,REG,W,100-64,W,-29.5,O,159,1
Marquette, LIU,REG,W,95-58,W,-29.5,U,153.5,1
Missouri, Houston Baptist,REG,W,105-69,W,-29.5,O,156.5,1
Ohio State, St. Francis-Pennsylvania,REG,W,96-59,W,-29.5,O,144.5,1
Duke, USC Upstate,REG,W,84-38,W,-29,U,149.5,1
Creighton, St. Thomas (MN),REG,W,72-60,L,-28.5,U,149.5,1
Indiana, Arkansas-Little Rock,REG,W,87-68,L,-28.5,O,150.5,1
Memphis, Arkansas-Little Rock,REG,W,87-71,L,-28.5,O,149.5,1
Virginia, Maryland-Eastern Shore,REG,W,72-45,L,-28.5,U,123.5,1
Iowa, Bethune-Cookman,REG,W,89-58,W,-28.5,U,151.5,1
James Madison, LIU,REG,W,115-79,W,-28.5,O,155,1
Arizona, Southern,REG,W,95-78,L,-28,O,161.5,1
Arizona, Dixie State,REG,W,104-77,L,-28,O,164,1
Gonzaga, Portland State,REG,W,102-78,L,-28,O,162.5,1
Texas Tech, Northwestern State,REG,W,73-49,L,-28,U,141.5,1
Baylor, Northern Colorado,REG,W,95-62,W,-28,O,156,1
Missouri, Lindenwood,REG,W,82-53,W,-28,U,153.5,1
Tennessee, Eastern Kentucky,REG,W,84-49,W,-28,U,142,1
Tennessee, Austin Peay,REG,W,86-44,W,-28,O,127.5,1
Baylor, Norfolk State,REG,W,87-70,L,-27.5,O,148,1
Marquette, Chicago State,REG,W,82-68,L,-27.5,O,147.5,1
Memphis, North Alabama,REG,W,87-68,L,-27.5,O,142.5,1
St. John's, Central Connecticut State,REG,W,91-74,L,-27.5,O,154,1
Illinois, Monmouth,REG,W,103-65,W,-27.5,O,142.5,1
Indiana, Miami-Ohio,REG,W,86-56,W,-27.5,U,148.5,1
Indiana, Jackson State,REG,W,90-51,W,-27.5,U,146.5,1
Kentucky, North Florida,REG,W,96-56,W,-27.5,U,153,1
Tennessee, Alcorn State,REG,W,94-40,W,-27.5,O,131,1
Indiana, Elon,REG,W,96-72,L,-27,O,140,1
Oklahoma, Arkansas-Pine Bluff,REG,W,66-58,L,-27,U,143,1
Virginia, Albany,REG,W,66-46,L,-27,U,126,1
Wichita State, Mississippi Valley State,REG,W,71-48,L,-27,U,126,1
Wisconsin, Wisconsin-Green Bay,REG,W,56-45,L,-27,U,131,1
Drake, IUPUI,REG,W,80-48,W,-27,U,131,1
Kansas State, Incarnate Word,REG,W,98-50,W,-27,O,132.5,1
Ohio State, Alabama A&M,REG,W,90-59,W,-27,O,145,1
Baylor, Northwestern State,REG,W,58-48,L,-26.5,U,154,1
Loyola-Chicago, Fairleigh Dickinson,REG,W,88-82,L,-26.5,O,143.5,1
Miami, Lafayette,REG,W,67-54,L,-26.5,U,142.5,1
Ohio State, Charleston Southern,REG,W,82-56,L,-26.5,U,147.5,1
Texas, Northern Arizona,REG,W,73-48,L,-26.5,U,132.5,1
UCLA, Denver,REG,W,87-64,L,-26.5,O,146.5,1
Virginia Tech, William & Mary,REG,W,94-77,L,-26.5,O,137,1
West Virginia, Stony Brook,REG,W,75-64,L,-26.5,O,138.5,1
Florida, Stony Brook,REG,W,81-45,W,-26.5,U,143,1
Houston, Norfolk State,REG,W,100-52,W,-26.5,O,128.5,1
Iowa State, IUPUI,REG,W,88-39,W,-26.5,U,131,1
North Carolina, The Citadel,REG,W,100-67,W,-26.5,O,146,1
Rutgers, Central Connecticut State,REG,W,83-49,W,-26.5,O,130.5,1
Wake Forest, South Carolina State,REG,W,105-74,W,-26.5,O,145.5,1
Furman, South Carolina State,REG,W,88-76,L,-26,O,148.5,1
Georgia, Florida A&M,REG,W,68-46,L,-26,U,130.5,1
Colorado State, Mississippi Valley State,REG,W,88-45,W,-26,U,133.5,1
Iowa State, McNeese State,REG,W,77-40,W,-26,U,129,1
San Francisco, Hartford,REG,W,85-53,W,-26,U,139.5,1
UAB, Alabama State,REG,W,111-70,W,-26,O,149.5,1
UAB, Presbyterian,REG,W,92-61,W,-26,O,143,1
Kentucky, Bellarmine,REG,W,60-41,L,-25.5,U,138,1
NC State, Elon,REG,W,74-63,L,-25.5,U,158,1
South Carolina, South Carolina State,REG,W,80-77,L,-25.5,O,138,1
UNLV, Incarnate Word,REG,W,88-63,L,-25.5,O,133,1
Illinois, UMKC,REG,W,86-48,W,-25.5,U,141.5,1
Kansas, Texas Southern,REG,W,87-55,W,-25.5,O,141.5,1
TCU, Central Arkansas,REG,W,103-57,W,-25.5,O,155,1
UCLA, Sacramento State,REG,W,76-50,W,-25.5,U,135,1
Hawaii, Mississippi Valley State,REG,W,72-54,L,-25,U,134.5,1
Miami, St. Francis-Pennsylvania,REG,W,91-76,L,-25,O,148,1
Virginia Tech, Charleston Southern,REG,W,69-64,L,-25,U,143.5,1
Arizona, Texas A&M-Corpus Christi,REG,W,99-61,W,-25,U,165,1
Kentucky, Howard,REG,W,95-63,W,-25,O,148.5,1
Purdue, Wisconsin-Milwaukee,REG,W,84-53,W,-25,U,145.5,1
Rutgers, Coppin State,REG,W,90-57,W,-25,O,143,1
Utah, LIU,REG,W,89-48,W,-25,U,143.5,1
Auburn, Texas Southern,REG,W,72-56,L,-24.5,U,148,1
Iowa State, North Dakota,REG,W,63-44,L,-24.5,U,133.5,1
Kansas, North Dakota State,REG,W,82-59,L,-24.5,U,147,1
Miami, St. Francis-Brooklyn,REG,W,79-56,L,-24.5,U,142.5,1
Purdue, Austin Peay,REG,W,63-44,L,-24.5,U,138.5,1
Texas, Rice,REG,W,87-81,L,-24.5,O,142,1
Virginia, North Carolina Central,REG,W,73-61,L,-24.5,O,127.5,1
Arizona, Nicholls State,REG,W,117-75,W,-24.5,O,160,1
Indiana, Morehead State,REG,W,88-53,W,-24.5,O,139,1
Iowa, North Carolina A&T,REG,W,112-71,W,-24.5,O,156,1
LSU, New Orleans,REG,W,91-62,W,-24.5,O,149.5,1
Stanford, Wisconsin-Green Bay,REG,W,85-40,W,-24.5,U,129.5,1
Virginia, Monmouth,REG,W,89-42,W,-24.5,O,122.5,1
Duke, Bellarmine,REG,W,74-57,L,-24,U,138.5,1
Maryland, Coppin State,REG,W,95-79,L,-24,O,145.5,1
