Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
Abilene Christian,77,67.5,87.86,47.64,67.75,8,37.04,16.47,10.87,14.47,23.13,9.4,64.87,75.5,52.71,43.9,73.98,5,30,11.13,
Air Force,68.75,61,71.33,46.98,70.03,8.56,36.44,15.94,6.75,12.56,23.56,6.63,63.88,66.5,63,41.57,73.25,5.13,28.57,9.38,
Akron,69.38,60.5,73.33,41.66,67.08,8.85,34.23,13.31,11.08,11.92,26.62,7,62.62,64.25,61.89,41.79,68.24,6.69,35.08,12.23,
Alabama,83.29,77,86.78,44.13,70.99,10,34.83,15.36,13.93,16.36,32.57,5.86,71,71.4,70.78,38.47,69.18,5.57,27.96,10.86,
Alabama A&M,69.46,61,73.22,42.55,66.82,7.23,37.6,13.31,10.31,15.08,22.23,8.85,75.54,78.75,74.11,43.88,66.67,9.69,35.59,14.69,
Alabama State,63.71,60.45,75.67,35.67,70.61,6.21,33.08,10.5,13.14,12.86,24.29,5.36,79.07,82.73,65.67,47.05,67.47,8.14,37.75,15.36,
Albany,65.56,65.45,65.8,40.24,67.69,7.5,32.17,11.69,11.06,13.88,22.69,6.13,73.81,75.73,69.6,49.19,67.23,5.44,33.85,13.94,
Alcorn State,60.54,59.91,64,36.62,67.9,4.46,25.55,8.69,13.69,14.15,21.08,7.92,74.31,76.82,60.5,46.47,67.08,7.08,30.98,15.38,
American,67.77,65.13,72,50,72.25,7.46,38.04,14.31,7.69,14.31,23.54,7.85,61.69,62,61.2,42.3,68.58,6.23,33.2,10.62,
Appalachian State,75.27,64.33,82.56,46.02,70.61,8.27,34.25,13.87,8.47,11.93,27.73,7.47,65.33,70.5,61.89,40.02,69.74,7.67,33.33,12.33,
Arizona,88.71,74.67,92.55,52.23,74.29,7.93,36.16,20.43,10.29,14.36,31.57,6,72.79,72,73,40.52,67.54,8.07,31.83,13.14,
Arizona State,71.79,65.25,74.4,41.77,68,7.21,30.51,14.64,11.86,12.29,28.29,7.07,64.43,70,62.2,36.77,67.49,6.93,30.12,12.64,
Arkansas,77.69,74.33,78.7,48.49,71.63,4.85,30,13.92,9.31,12.54,26.31,10.46,61.77,70.67,59.1,41.04,68.28,5.08,28.45,9.54,
Arkansas State,68.53,58.8,73.4,46.26,65.28,5.93,33.97,15.13,10.53,12.4,24.2,7.67,65.13,69,63.2,42.14,71.27,7.4,39.36,11.67,
Arkansas-Little Rock,73.71,69,82.2,42.7,71.25,6.36,31.34,13.21,11.5,14.29,24.5,7.14,78.43,83.67,69,46.41,66.67,8,36.6,14.43,
Arkansas-Pine Bluff,63.71,57.2,80,38,69.74,7.43,29.63,13.36,11.07,15.86,24.79,8.36,69.36,76.9,50.5,43.79,69.7,6.71,32.41,14.86,
Army,76.13,71.86,79.88,48.25,70.38,8.87,36.54,14,8.8,13.2,27.2,4.53,71.8,72.43,71.25,43.13,73.25,8.47,33.78,13.8,
Auburn,72.69,66,74.7,44.18,67.12,6.08,29.7,14.31,13.15,14.15,25.92,8.69,61.77,59,62.6,38.9,65.84,4.69,26.18,9.85,
